check	value	ok
run_config	verification/snapshot/6991_day0_reference_promethion/run_config.yaml	True
config_strain	6991_day0_reference_promethion	True
y_prime_lib_override_present	False	True
y_prime_lib_resolved	results/6991_day0_reference_promethion/_pipeline/pretelomeric_labels/extracted_yprimes_6991_day0_reference_promethion.fasta	True
ours_lib_md5	dafc23de4f4ffc7717b393b8595ee75d	True
bed_yprimes_not_in_lib	-	True
lib_yprimes_not_in_bed	-	True
n_bed_yprimes	34	True
n_lib_yprime_locations	34	True
n_lib_unique_variants	23	True
